Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C,24,TOR,3,0,21.7,3,8,0.375,0.3,1.7,0.2,2.7,6.3,0.421,0.396,1,1,1,2.7,5.3,8,1.3,0,0.3,2,2.7,7.3
2,Bam Adebayo,C,26,MIA,4,4,33.3,8,15.5,0.516,0,0.3,0,8,15.3,0.525,0.516,6.3,8.5,0.735,2.5,5.5,8,2.5,0.8,1.5,3.3,2,22.3
3,Ochai Agbaji,SG,23,UTA,5,0,14.2,1,4,0.25,0.6,2.4,0.25,0.4,1.6,0.25,0.325,0,0.2,0,0.2,1.6,1.8,1,0.2,0.4,0.4,1,2.6
4,Nickeil Alexander-Walker,SG,25,MIN,4,2,19.8,1.5,5.5,0.273,0.8,3.5,0.214,0.8,2,0.375,0.341,0,0.5,0,0,1.8,1.8,2,0.5,0.8,1.3,2.3,3.8
5,Grayson Allen,SG,28,PHO,4,4,30.8,3.3,7.8,0.419,2.5,5.8,0.435,0.8,2,0.375,0.581,1.5,1.5,1,1.3,4,5.3,3,0.5,0.3,1.5,2.3,10.5
6,Kyle Anderson,PF,30,MIN,4,0,25.8,3.5,6.5,0.538,0.3,1,0.25,3.3,5.5,0.591,0.558,0.8,1,0.75,0.8,3.3,4,4,1.5,0.3,1.3,0.5,8
7,Giannis Antetokounmpo,PF,29,MIL,4,4,31,9,16.8,0.537,0.3,1.8,0.143,8.8,15,0.583,0.545,6.3,9.8,0.641,3.3,5.3,8.5,2.5,1,1.3,3.8,3,24.5
8,Thanasis Antetokounmpo,PF,31,MIL,2,0,5.5,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0,0,,0,0,0,1,0.5,0,1.5,1,1
9,Cole Anthony,PG,23,ORL,4,0,22.8,5.3,11.3,0.467,1.3,3.5,0.357,4,7.8,0.516,0.522,3.3,4.8,0.684,0.5,3.8,4.3,1.8,0.8,0.3,0.8,2.5,15
10,OG Anunoby,SF,26,TOR,4,4,29.3,5.8,10,0.575,2,5.8,0.348,3.8,4.3,0.882,0.675,0.8,1.3,0.6,0,3.5,3.5,1.3,1.8,1,1.8,2.3,14.3
11,Ryan Arcidiacono,PG,29,NYK,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
12,Deni Avdija,SF,23,WAS,4,4,23.5,5.5,10.5,0.524,1.3,2.5,0.5,4.3,8,0.531,0.583,0.8,1.3,0.6,2.3,4,6.3,2.8,1.5,0.3,1,2.8,13
13,Deandre Ayton,C,25,POR,5,5,28,5,8.4,0.595,0,0,,5,8.4,0.595,0.595,0.2,0.2,1,3.4,10.6,14,1.4,2.2,1,1.6,2.6,10.2
14,Udoka Azubuike,C,24,PHO,1,0,6,1,1,1,0,0,,1,1,1,1,0,0,,0,3,3,0,0,0,0,0,2
15,Marvin Bagley III,C,24,DET,5,1,20.2,3.8,6.8,0.559,0.2,0.8,0.25,3.6,6,0.6,0.574,3.4,4,0.85,1,4.6,5.6,1.6,0,0.6,1.2,1.4,11.2
16,Patrick Baldwin Jr.,SF,21,WAS,2,0,4.5,0,1,0,0,0.5,0,0,0.5,0,0,0,0,,0,0,0,0.5,0,0,0,0,0
17,LaMelo Ball,PG,22,CHO,4,4,29.8,4.5,14.8,0.305,2,7.5,0.267,2.5,7.3,0.345,0.373,4.5,5.5,0.818,1.3,3.5,4.8,8,1.5,0.3,3.3,3.5,15.5
18,Mo Bamba,C,25,PHI,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,1,0,0,0
19,Paolo Banchero,PF,21,ORL,4,4,31.5,4.3,11.3,0.378,0.5,2.3,0.222,3.8,9,0.417,0.4,3.5,6.5,0.538,0.8,4.5,5.3,4.5,1.8,0,2.3,2.3,12.5
20,Desmond Bane,SG,25,MEM,5,5,33.2,8.8,19,0.463,3.4,9.8,0.347,5.4,9.2,0.587,0.553,3.6,4,0.9,1,2.8,3.8,3.2,1.8,0.4,2.6,2.4,24.6
21,Dalano Banton,PG,24,BOS,2,0,9,2.5,3.5,0.714,0,0.5,0,2.5,3,0.833,0.714,1.5,1.5,1,1,1.5,2.5,1,0.5,0,0.5,1.5,6.5
22,Dominick Barlow,PF,20,SAS,1,0,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
23,Harrison Barnes,PF,31,SAC,4,4,33.3,5.5,9.5,0.579,2.5,5,0.5,3,4.5,0.667,0.711,2.8,3.5,0.786,0.5,2.3,2.8,1.5,0.8,0.3,0.5,1,16.3
24,Scottie Barnes,SF,22,TOR,5,5,35.6,8.4,16.2,0.519,1.8,4.2,0.429,6.6,12,0.55,0.574,2.2,2.8,0.786,2.4,7.6,10,5.4,1,2.4,3.8,2.6,20.8
25,RJ Barrett,SG,23,NYK,4,4,31.3,7.3,16,0.453,2.3,5.3,0.429,5,10.8,0.465,0.523,4.3,5.3,0.81,0.8,2.3,3,2.5,0.5,0.3,2.3,1,21
26,Charles Bassey,C,23,SAS,4,0,13,1.3,1.8,0.714,0,0,,1.3,1.8,0.714,0.714,0,0,,1,3,4,1,0.5,0.5,0.5,1.8,2.5
27,Emoni Bates,SF,20,CLE,2,0,14.5,1.5,4.5,0.333,1,3,0.333,0.5,1.5,0.333,0.444,0.5,1,0.5,0.5,2.5,3,0.5,0,0.5,0.5,0.5,4.5
28,Keita Bates-Diop,SF,28,PHO,1,0,6,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,1,1,1,0,0,0,0,2
29,Nicolas Batum,PF,35,LAC,3,0,18,1,2.7,0.375,0.7,2.3,0.286,0.3,0.3,1,0.5,0,0,,0,2.3,2.3,1.7,1,1.3,0.3,1.7,2.7
30,Malik Beasley,SG,27,MIL,4,4,30,4.3,8.5,0.5,3,6.5,0.462,1.3,2,0.625,0.676,0.5,1.5,0.333,0.3,3,3.3,1.5,2,0,1.5,2.3,12
31,MarJon Beauchamp,SF,23,MIL,3,0,16,2.3,4.3,0.538,1.3,2.7,0.5,1,1.7,0.6,0.692,0.7,0.7,1,0.7,1,1.7,0,0,0,0.3,2,6.7
32,Dāvis Bertāns,PF,31,OKC,1,0,13,1,2,0.5,1,2,0.5,0,0,,0.75,3,3,1,0,1,1,0,0,0,0,1,6
33,Patrick Beverley,PG,35,PHI,3,0,17,1.3,2,0.667,0,0,,1.3,2,0.667,0.667,0,0,,1.3,1.7,3,2,0.3,1,0.7,2.3,2.7
34,Saddiq Bey,SF,24,ATL,5,3,28.4,4,8,0.5,1.6,3.8,0.421,2.4,4.2,0.571,0.6,2,2.2,0.909,1.4,4.2,5.6,1,1.2,0.4,1.2,1.2,11.6
35,Goga Bitadze,C,24,ORL,3,0,3.3,0.7,0.7,1,0,0,,0.7,0.7,1,1,1.3,2,0.667,0.7,0.7,1.3,1,0.3,0,0.3,0.3,2.7
36,Anthony Black,PG,20,ORL,2,0,4.5,1,1,1,0,0,,1,1,1,1,0.5,0.5,1,0,0,0,1,0,1,0,0.5,2.5
37,Bogdan Bogdanović,SG,31,ATL,5,0,24,4.4,10,0.44,2.4,6.6,0.364,2,3.4,0.588,0.56,0.8,0.8,1,0,2,2,3.6,1.6,0.2,1.2,1.6,12
38,Bol Bol,PF,24,PHO,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,1,2,0,0
39,Devin Booker,SG,27,PHO,1,1,37,13,21,0.619,3,8,0.375,10,13,0.769,0.69,3,3,1,1,5,6,8,1,0,6,4,32
40,Chris Boucher,PF,31,TOR,4,0,14.8,1.8,4.5,0.389,0,0.8,0,1.8,3.8,0.467,0.389,2.8,3,0.917,1.5,4,5.5,0.5,0.5,0.3,0.8,2.5,6.3
41,Malaki Branham,SG,20,SAS,4,0,15.5,2.8,8.3,0.333,1,3,0.333,1.8,5.3,0.333,0.394,0.5,0.5,1,0,1.3,1.3,2,0.8,0,1.5,0.5,7
42,Christian Braun,SG,22,DEN,5,0,21.8,3.2,7.2,0.444,0.4,2,0.2,2.8,5.2,0.538,0.472,1.2,1.8,0.667,1.4,4.8,6.2,3,0.6,0.6,0.8,1.4,8
43,Mikal Bridges,SG,27,BRK,4,4,34.8,7.3,14.5,0.5,1.5,4.8,0.316,5.8,9.8,0.59,0.552,4.8,5,0.95,1.5,4.5,6,4,1.3,0.3,2.8,2.5,20.8
44,Oshae Brissett,SF,25,BOS,3,0,14.7,0.7,3.3,0.2,0,1,0,0.7,2.3,0.286,0.2,0.7,0.7,1,1.3,1.3,2.7,0.3,1,0,0.7,1,2
45,Malcolm Brogdon,PG,31,POR,5,0,26.8,7,15.8,0.443,2.2,5.6,0.393,4.8,10.2,0.471,0.513,2,2.8,0.714,1,3.6,4.6,4.4,0.4,0,1.6,1.4,18.2
46,Armoni Brooks,PG,25,BRK,1,0,16,6,7,0.857,5,6,0.833,1,1,1,1.214,0,0,,0,2,2,0,0,0,0,0,17
